species,scenario_id,source,year,n_seasons,annual_anomaly,tmin_used,tmax_used
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1980,2,-11.176308951647655,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1981,2,-3.8450155425595085,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1982,2,1.4824751173839559,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1983,2,3.46411026200893,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1984,2,3.540008043974254,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1985,2,-4.187964227059936,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1986,2,2.5681626969877698,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1987,2,-2.9977443388891913,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1988,2,10.33039306802496,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1989,2,-6.771034760564746,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1990,2,2.1641428243274703,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1991,2,-4.433372966640263,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1992,2,-1.0938861919165817,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1993,2,-11.256861445089982,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1994,2,2.145887617794145,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1995,2,3.43892563205344,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1996,2,23.164507558192597,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1997,2,12.208037411283243,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1998,2,15.137650309051608,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,1999,2,-7.491306191641243,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2000,2,10.667734775833239,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2001,2,8.780073221544754,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2002,2,5.871013136516751,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2003,2,-1.4224627880815035,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2004,2,0.16663722816956295,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2005,2,0.5778240586325865,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2006,2,12.104591657607173,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2007,2,13.909301742334634,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2008,2,11.719379468406473,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2009,2,-5.8177357473937406,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2010,2,2.6977431863114134,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2011,2,8.80373945810264,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2012,2,-5.473842834211283,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2013,2,-19.65539058859227,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2014,2,-23.63571254462984,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2015,2,-25.467485280954833,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2016,2,-27.047323358498886,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2017,2,-8.789222113659875,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2018,2,-24.58056754583835,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2019,2,-46.7614685665406,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2020,2,-19.152326628145644,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2022,2,-18.881565356752603,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2023,2,-26.929583879233704,4.3100000000000005,9.6
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,2024,2,18.221330749816914,4.3100000000000005,9.6
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1959,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1960,2,-0.13953057764756238,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1961,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1962,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1963,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1964,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1965,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1966,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1967,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1968,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1969,2,-0.09307274566427282,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1970,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1971,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1972,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1973,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1974,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1975,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1976,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1977,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1978,2,0,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1979,2,-0.05321334278704626,4,19.66
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,1980,2,-0.015890515004812755,4,19.66
